Pri_Cat,Sub_Category,Counts,Sub_Url
Antiques,Antiques,31357,https://hibid.com/lots/antiques
Antiques,Antique Furniture,1739,https://hibid.com/lots/antiques---antique-furniture
Antiques,Antique Lamps,1743,https://hibid.com/lots/antiques---antique-lamps
Antiques,Antique Musical Instruments,61,https://hibid.com/lots/antiques---antique-musical-instruments
Antiques,Antique Tools,4059,https://hibid.com/lots/antiques---antique-tools
Antiques,Clocks,2425,https://hibid.com/lots/antiques---clocks
Antiques,Clothing Fabric Textiles,305,https://hibid.com/lots/antiques---clothing---fabric---textiles
Antiques,Farm & Ranch,227,https://hibid.com/lots/antiques---farm-and-ranch
Antiques,Maps Globes,634,https://hibid.com/lots/antiques---maps---globes
Antiques,Other Antiques,5829,https://hibid.com/lots/antiques---other-antiques
Antiques,Rugs Carpets,209,https://hibid.com/lots/antiques---rugs---carpets
